Cruise,Station,Gear,FishNum,Family,Taxon,Idconfirm,GeneticID,FF,DatePro,PhotoNum,SL,FL,TL,Wt,TGW,EGW,GutMB,GutV.ID,SIA,FishBarcoding,Prey_Num,Prey_Taxon,Obs_Length,Mag,Actual_Length,TotalNumPrey,TotalPrey_gut,Date_MorphID,SwimBladder,Gonads,Gonwt,Sex,Gonadpreservative,Head,Comments,Comments_PostDissection,Gut_comments,Prey_Comments
HB1907,2,MWT1,2,Myctophidae,Diaphus perspicillatus,Yes - visually PEC,NA,N,8/19/2019,7500,47,49,60,1.885,0.1244,NA,N,Y,Y,Y,NA,DigAmphipod,NA,NA,NA,2,7,6/22/2020,DA,N,NA,?,NA,Y,NA,NA,NA,NA
HB1907,2,MWT1,2,Myctophidae,Diaphus perspicillatus,Yes - visually PEC,NA,N,8/19/2019,7500,47,49,60,1.885,0.1244,NA,N,Y,Y,Y,1,DigAmphipod,NA,NA,NA,NA,7,6/22/2020,DA,N,NA,?,NA,Y,NA,NA,NA,NA
HB1907,2,MWT1,2,Myctophidae,Diaphus perspicillatus,Yes - visually PEC,NA,N,8/19/2019,7500,47,49,60,1.885,0.1244,NA,N,Y,Y,Y,NA,DigCopepod,NA,NA,NA,5,7,6/22/2020,DA,N,NA,?,NA,Y,NA,NA,NA,NA
HB1907,2,MWT1,2,Myctophidae,Diaphus perspicillatus,Yes - visually PEC,NA,N,8/19/2019,7500,47,49,60,1.885,0.1244,NA,N,Y,Y,Y,2,DigCopepod,3,2,1.44,NA,7,6/22/2020,DA,N,NA,?,NA,Y,NA,NA,NA,NA
HB1907,2,MWT1,2,Myctophidae,Diaphus perspicillatus,Yes - visually PEC,NA,N,8/19/2019,7500,47,49,60,1.885,0.1244,NA,N,Y,Y,Y,3,DigCopepod,NA,NA,NA,NA,7,6/22/2020,DA,N,NA,?,NA,Y,NA,NA,NA,NA
HB1907,2,MWT1,2,Myctophidae,Diaphus perspicillatus,Yes - visually PEC,NA,N,8/19/2019,7500,47,49,60,1.885,0.1244,NA,N,Y,Y,Y,4,DigCopepod,NA,NA,NA,NA,7,6/22/2020,DA,N,NA,?,NA,Y,NA,NA,NA,NA
HB1907,2,MWT1,2,Myctophidae,Diaphus perspicillatus,Yes - visually PEC,NA,N,8/19/2019,7500,47,49,60,1.885,0.1244,NA,N,Y,Y,Y,5,DigAmphipod,NA,NA,NA,NA,7,6/22/2020,DA,N,NA,?,NA,Y,NA,NA,NA,NA
HB1907,2,MWT1,2,Myctophidae,Diaphus perspicillatus,Yes - visually PEC,NA,N,8/19/2019,7500,47,49,60,1.885,0.1244,NA,N,Y,Y,Y,6,DigCopepod,NA,NA,NA,NA,7,6/22/2020,DA,N,NA,?,NA,Y,NA,NA,NA,NA
HB1907,2,MWT1,2,Myctophidae,Diaphus perspicillatus,Yes - visually PEC,NA,N,8/19/2019,7500,47,49,60,1.885,0.1244,NA,N,Y,Y,Y,7,DigCopepod,NA,NA,NA,NA,7,6/22/2020,DA,N,NA,?,NA,Y,NA,NA,NA,NA
HB1907,2,MWT1,3,Myctophidae,Diaphus perspicillatus,Yes - visually PEC,NA,N,8/19/2019,7501,40,41,51,1.1188,0.0909,NA,N,Y,Y,Y,NA,Candacia,NA,NA,NA,2,4,7/20/2020,DA,N,NA,?,NA,Y,NA,NA,gut black,NA
HB1907,2,MWT1,3,Myctophidae,Diaphus perspicillatus,Yes - visually PEC,NA,N,8/19/2019,7501,40,41,51,1.1188,0.0909,NA,N,Y,Y,Y,1,Candacia,2.1,0.8,2.63,NA,4,7/20/2020,DA,N,NA,?,NA,Y,NA,NA,gut black,NA
HB1907,2,MWT1,3,Myctophidae,Diaphus perspicillatus,Yes - visually PEC,NA,N,8/19/2019,7501,40,41,51,1.1188,0.0909,NA,N,Y,Y,Y,NA,Calanoid,NA,NA,NA,1,4,7/20/2020,DA,N,NA,?,NA,Y,NA,NA,gut black,NA
HB1907,2,MWT1,3,Myctophidae,Diaphus perspicillatus,Yes - visually PEC,NA,N,8/19/2019,7501,40,41,51,1.1188,0.0909,NA,N,Y,Y,Y,2,Calanoid,1,0.8,1.25,NA,4,7/20/2020,DA,N,NA,?,NA,Y,NA,NA,gut black,NA
HB1907,2,MWT1,3,Myctophidae,Diaphus perspicillatus,Yes - visually PEC,NA,N,8/19/2019,7501,40,41,51,1.1188,0.0909,NA,N,Y,Y,Y,NA,Hyperiidea,NA,NA,NA,1,4,7/20/2020,DA,N,NA,?,NA,Y,NA,NA,gut black,NA
HB1907,2,MWT1,3,Myctophidae,Diaphus perspicillatus,Yes - visually PEC,NA,N,8/19/2019,7501,40,41,51,1.1188,0.0909,NA,N,Y,Y,Y,3,Hyperiidea,NA,NA,NA,NA,4,7/20/2020,DA,N,NA,?,NA,Y,NA,NA,gut black,NA
HB1907,2,MWT1,3,Myctophidae,Diaphus perspicillatus,Yes - visually PEC,NA,N,8/19/2019,7501,40,41,51,1.1188,0.0909,NA,N,Y,Y,Y,4,Candacia,NA,NA,NA,NA,4,7/20/2020,DA,N,NA,?,NA,Y,NA,NA,gut black,"only half of metasome left, could not loate prosome"
HB1907,2,MWT1,6,Myctophidae,Diaphus perspicillatus,Yes - visually PEC,NA,N,8/19/2019,7503,40,41,57,1.6656,0.0643,NA,N,Y,Y,Y,NA,Chaetognatha,NA,NA,NA,1,2,6/22/2020,DA,N,NA,?,NA,Y,"Maybe small amount of gonads found but not saved. Could be fat. Three parasites near gonad could be flat worms, iphone photo taken through scope.",NA,"gut very small, black",NA
HB1907,2,MWT1,6,Myctophidae,Diaphus perspicillatus,Yes - visually PEC,NA,N,8/19/2019,7503,40,41,57,1.6656,0.0643,NA,N,Y,Y,Y,1,Chaetognatha,NA,NA,NA,NA,2,6/22/2020,DA,N,NA,?,NA,Y,"Maybe small amount of gonads found but not saved. Could be fat. Three parasites near gonad could be flat worms, iphone photo taken through scope.",NA,"gut very small, black",NA
HB1907,2,MWT1,6,Myctophidae,Diaphus perspicillatus,Yes - visually PEC,NA,N,8/19/2019,7503,40,41,57,1.6656,0.0643,NA,N,Y,Y,Y,NA,Euphausidacea,NA,NA,NA,1,2,6/22/2020,DA,N,NA,?,NA,Y,"Maybe small amount of gonads found but not saved. Could be fat. Three parasites near gonad could be flat worms, iphone photo taken through scope.",NA,"gut very small, black",NA
